País,Sexo,Años,id_fuente,ids_notas,iso3,valor
Uruguay,Hombres,2005,480,,URY,38
Venezuela (República Bolivariana de),Hombres,2005,480,,VEN,49
Argentina,Mujeres,2005,480,,ARG,42
Bolivia (Estado Plurinacional de),Mujeres,2005,480,,BOL,41
Brasil,Mujeres,2005,480,,BRA,49
Chile,Mujeres,2005,480,,CHL,39
Colombia,Mujeres,2005,480,,COL,35
Costa Rica,Mujeres,2005,480,,CRI,43
República Dominicana,Mujeres,2005,480,,DOM,31
Ecuador,Mujeres,2005,480,,ECU,51
El Salvador,Mujeres,2005,480,,SLV,33
Guatemala,Mujeres,2005,480,,GTM,41
Honduras,Mujeres,2005,480,,HND,31
México,Mujeres,2005,480,,MEX,64
Nicaragua,Mujeres,2005,480,,NIC,35
Panamá,Mujeres,2005,480,,PAN,23
Paraguay,Mujeres,2005,480,,PRY,40
Perú,Mujeres,2005,480,,PER,46
Uruguay,Mujeres,2005,480,,URY,40
Venezuela (República Bolivariana de),Mujeres,2005,480,,VEN,49
Argentina,Ambos sexos,2006,480,,ARG,40
Bolivia (Estado Plurinacional de),Ambos sexos,2006,480,,BOL,29
Brasil,Ambos sexos,2006,480,,BRA,34
Chile,Ambos sexos,2006,480,,CHL,34
Colombia,Ambos sexos,2006,480,,COL,31
Costa Rica,Ambos sexos,2006,480,,CRI,33
República Dominicana,Ambos sexos,2006,480,,DOM,40
Ecuador,Ambos sexos,2006,480,,ECU,34
El Salvador,Ambos sexos,2006,480,,SLV,25
Guatemala,Ambos sexos,2006,480,,GTM,44
Honduras,Ambos sexos,2006,480,,HND,31
México,Ambos sexos,2006,480,,MEX,33
Nicaragua,Ambos sexos,2006,480,,NIC,29
Panamá,Ambos sexos,2006,480,,PAN,18
Paraguay,Ambos sexos,2006,480,,PRY,24
Perú,Ambos sexos,2006,480,,PER,35
Uruguay,Ambos sexos,2006,480,,URY,31
Venezuela (República Bolivariana de),Ambos sexos,2006,480,,VEN,36
Argentina,Hombres,2006,480,,ARG,39
Bolivia (Estado Plurinacional de),Hombres,2006,480,,BOL,31
Brasil,Hombres,2006,480,,BRA,32
Chile,Hombres,2006,480,,CHL,36
Colombia,Hombres,2006,480,,COL,34
Costa Rica,Hombres,2006,480,,CRI,36
República Dominicana,Hombres,2006,480,,DOM,42
Ecuador,Hombres,2006,480,,ECU,36
El Salvador,Hombres,2006,480,,SLV,26
Guatemala,Hombres,2006,480,,GTM,48
Honduras,Hombres,2006,480,,HND,29
México,Hombres,2006,480,,MEX,35
Nicaragua,Hombres,2006,480,,NIC,28
Panamá,Hombres,2006,480,,PAN,20
Paraguay,Hombres,2006,480,,PRY,26
Perú,Hombres,2006,480,,PER,36
Uruguay,Hombres,2006,480,,URY,29
Venezuela (República Bolivariana de),Hombres,2006,480,,VEN,37
Argentina,Mujeres,2006,480,,ARG,42
Bolivia (Estado Plurinacional de),Mujeres,2006,480,,BOL,27
Brasil,Mujeres,2006,480,,BRA,35
Chile,Mujeres,2006,480,,CHL,33
Colombia,Mujeres,2006,480,,COL,28
Costa Rica,Mujeres,2006,480,,CRI,29
República Dominicana,Mujeres,2006,480,,DOM,39
Ecuador,Mujeres,2006,480,,ECU,32
El Salvador,Mujeres,2006,480,,SLV,24
Guatemala,Mujeres,2006,480,,GTM,40
Honduras,Mujeres,2006,480,,HND,33
México,Mujeres,2006,480,,MEX,32
Nicaragua,Mujeres,2006,480,,NIC,29
Panamá,Mujeres,2006,480,,PAN,15
Paraguay,Mujeres,2006,480,,PRY,22
Perú,Mujeres,2006,480,,PER,35
Uruguay,Mujeres,2006,480,,URY,33
Venezuela (República Bolivariana de),Mujeres,2006,480,,VEN,35
Argentina,Ambos sexos,2007,480,,ARG,47
Bolivia (Estado Plurinacional de),Ambos sexos,2007,480,,BOL,43
Brasil,Ambos sexos,2007,480,,BRA,42
Chile,Ambos sexos,2007,480,,CHL,40
Colombia,Ambos sexos,2007,480,,COL,34
Costa Rica,Ambos sexos,2007,480,,CRI,32
República Dominicana,Ambos sexos,2007,480,,DOM,28
Ecuador,Ambos sexos,2007,480,,ECU,38
El Salvador,Ambos sexos,2007,480,,SLV,42
Guatemala,Ambos sexos,2007,480,,GTM,35
Honduras,Ambos sexos,2007,480,,HND,45
México,Ambos sexos,2007,480,,MEX,39
Nicaragua,Ambos sexos,2007,480,,NIC,28
Panamá,Ambos sexos,2007,480,,PAN,15
Paraguay,Ambos sexos,2007,480,,PRY,41
Perú,Ambos sexos,2007,480,,PER,43
Uruguay,Ambos sexos,2007,480,,URY,35
